,make,model,modelTypeName,color,driveType,price,totalOwners,kilometers,seats,power,batteryCapacity,electricRange,isSuv,metallicColor,airconditioning,parking_sensors,satellite_navigator,cruise_control_adaptive,parking_camera_simple_camera,seat_heaters,driving_assistant,alloy_wheels,electric_mirrors,lane_departure_warning_system,electrically_operated_tailgate,leather_upholstery,emergency_brake_assist,collision_avoidance_system,cruise_control_traditional,parking_assistant,tow_bar,electric_seats_with_memory,heated_steering_wheel,sunroof,sun_hatch_with_panorama,adaptive_headlights,sport_seats,fuel_battery_powered_heater,parking_camera_360-degree_camera,battery_preheating,electric_seats_without_memory,air_suspension,curve_lights,head_up_display,"sport_base,"
39,polestar,2,Performance Long Range / Pilot&Plus / H&K / Panorama / 360° Kamera / Öhlins® / Rahoitus / Vaihto,white,4wd,55800.0,1,24000.0,5,,75.0,,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False
40,peugeot,e-2008,"Active Pack 50 kWh 136 Automaatti; Parkkitutka, Vakionopeussäädin, LED yms.",black,fwd,27900.0,1,19470.0,5,100.0,50.0,342.0,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,mercedes-benz,eqc,"400 4Matic AMG Line, Head up !! Distronic !! 360 kamera !! Vetokoukku !!",silver,4wd,64980.0,1,22000.0,5,300.0,80.0,,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
42,bmw,ix3,"G08 Charged // Driving assistant Prof. / Vetokoukku / Panorama **BPS takuu 24kk** *** BMW Premium Selection, Syyskuun Ra",white,rwd,54900.0,1,8000.0,5,,80.0,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
43,lexus,ux,,black,fwd,44980.0,1,17100.0,5,150.0,0.0,,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,tesla,model 3,| AKKU 55kWh | Standard Range Plus Refresh 306hv Aut. | LÄMPÖPUMPPU | ESILÄMMITYS | AUTOPILOT |,blue,rwd,52990.0,1,14500.0,5,225.0,54.5,448.0,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
45,kia,niro,Electric Business Premium 64 kWh 204 hv ** LED / Kamera / Navi **,red,fwd,34900.0,1,52000.0,5,150.0,68.0,,False,False,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,nissan,leaf,Acenta 40 kWh FI// 2 x  renkaat/ Adaptiivinen vakkari / navi / kamera / ratinlämmitys /,black,fwd,21900.0,1,19000.0,5,110.0,40.0,,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
47,bmw,ix3,G08 Charged / BPS-takuu 24 kk / 40 000 km / Huolenpitosopimus voimassa *** Syyskuun Rahoitusetu 4.99% ,red,rwd,52900.0,1,8000.0,5,210.0,80.0,460.0,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False
48,citroen,e-c4,"Full Electric 136 Shine 50 kWh Automaatti (Navi, ACC, HUD, Lämpöpumppu, Kamera)",orange,fwd,32890.0,1,15000.0,5,,50.0,,False,False,True,True,True,True,False,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
49,porsche,taycan,"4S Cross Turismo - Kiinteä korko 3,99% + kulut - 420 kW, Suomi-auto, Bose, Dolomite Silver, Lämpöpumppu* - Ilmainen koti",silver,4wd,103600.0,1,25000.0,5,420.0,79.2,420.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
50,volkswagen,id4,"Pure City 109 kW, akku 52 kWh",gray,rwd,36800.0,1,26000.0,5,109.0,52.0,,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,hyundai,kona,"electric 64 kWh 204 hv HUOM FACELIFT! Navi, Pysäköintiavustin, Adaptiivinen vakkari, Avaimeton käyttö, Kaistavahti",white,fwd,30990.0,1,32000.0,5,,64.0,,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False
52,mercedes-benz,eqv,300e Aut 5-hengen Täyssähköauto,blue,fwd,64700.0,1,7000.0,5,150.0,0.0,,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
53,tesla,model 3,Performance Dual motor AWD - Autopilot - Premium - 250kW CCS - Näyttävä - Käsiraha 0%,black,4wd,59990.0,1,39000.0,5,475.0,78.75,547.0,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,False,True,False,False,False,True,False,True
54,dacia,spring,"Electic drive 33kW Comfort Plus CCS-lataus *** Korkotarjous 4,9% + kulut",silver,fwd,15890.0,1,13000.0,4,,0.0,,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,tesla,model 3,"Performance Dual AWD - 4,69% korko ja 1000€ S-bonusostokirjaus! Etu 30.09.saakka!",white,4wd,46780.0,1,18000.0,5,377.0,78.75,,False,False,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
56,tesla,model 3,"| Standard Range+ 2021 Refresh 275 hv Aut. | ILMALÄMPÖPUMPPU | AUTOPILOT | 
NAVIGOINTI | ",gray,rwd,47690.0,1,34500.0,5,202.0,54.5,,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
57,volkswagen,up!,"e-up! Style 61 kW automaatti, akku 36,8 kWh Takuu",red,fwd,19700.0,1,18000.0,4,61.0,36.8,,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,bmw,ix3,"G08 Charged Plus G08 Charged Plus *BMW BPS takuu 24kk/40tkm, Harman/Kardon, Panorama, HUD, Koukku* *** Syyskuun Rahoitus",white,rwd,53900.0,1,20000.0,5,210.0,80.0,,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
