,id,vehicleType,make,model,modelType,color,colorType,driveType,accessories,price,totalOwners,kilometers,seats,doors,power,batteryCapacity,batteryGuaranteeMonth,batteryGuaranteeKm,electricRange,chargingType,chargingPower,maximumChargingPower
32,13732168,Car,BMW,iX,xDrive50 Fully Charged,Gray,Metallic,Four wheel,"Power steering,Central locking: Keyless,Power windows,Tow bar,Alloy wheels,Airconditioning: Automatic,ABS brakes,Airbag,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Sport base,Sunroof,Isofix-ready,Curve lights,Auto hold,Keyless start,Ski hatch,Electrically operated tailgate,Cargo safety net,Sport seats,Parking Assistant,Parking camera: 360-degree camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Head-Up display,Adaptive headlights,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats",106250.0,,29800.0,5.0,5.0,524.0,0.0,,,,,,
33,13733812,Car,Mercedes-Benz,EQE,,Black,Metallic,Rear wheel,"Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Multiactive Steering Wheel,Parking Assistant,Air suspension,Smartphone integration",66500.0,,72000.0,5.0,4.0,4.0,0.0,,,,,,
34,13734617,Car,Skoda,Enyaq,,Blue,Not available,Rear wheel,"Two sets of tyres,Cruise control: Adaptive,Isofix-ready,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Lane departure warning system",49800.0,,20000.0,5.0,5.0,150.0,82.0,,,530.0,CCS,135.0,
35,13735173,Car,Peugeot,e-208,,White,Not available,Front wheel,"Central locking: Remote control,Power windows,Airconditioning: Automatic,Cruise control: Traditional,Parking sensors,Driving assistant,Folding rear seats",27750.0,,30.0,5.0,5.0,,0.0,,,,,,
36,13735176,Car,Peugeot,e-2008,,Gray,Not available,Front wheel,"Power windows,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Cruise control: Adaptive,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Parking camera: Simple camera",36890.0,,7000.0,5.0,4.0,4.0,50.0,,,336.0,,,
37,13735474,Car,Tesla,Model 3,,White,Metallic,Rear wheel,"Power steering,Central locking: Keyless,Power windows,Tow bar,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Radio,USB,Bluetooth,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,Electric seats: Without memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Sunroof,Isofix-ready,Keyless start,Heated windshield,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Plug-in charging for hybrid vehicles,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Heated steering wheel,Folding rear seats,Battery preheating",38590.0,1.0,31000.0,5.0,4.0,,60.0,,,,,,
38,13737050,Car,Mercedes-Benz,EQA,,Beige,Nonmetallic,Front wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Immobilizer,Traction control,Cruise control: Traditional,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Isofix-ready,Auto hold,Keyless start,Electrically operated tailgate,LED-headlights,Parking Assistant,Parking camera: Simple camera,Lane departure warning system,Smartphone integration,Adaptive headlights,Collision avoidance system,Blind spot sensor,Folding rear seats,Battery preheating",48500.0,,9000.0,5.0,5.0,,66.0,,160000.0,492.0,Schuko,100.0,100.0
39,13738390,Car,Volkswagen,ID5,,Red,Nonmetallic,Rear wheel,"Alloy wheels,Airconditioning: Automatic,USB,Cruise control: Adaptive,Parking sensors,Satellite navigator,Rain Sensor,Multiactive Steering Wheel,Heated windshield,LED-headlights,Parking Assistant,Parking camera: Simple camera",46900.0,,42000.0,5.0,,150.0,0.0,,,,,,
40,13738543,Car,Ford,Mustang Mach-E,,Other,Metallic,Four wheel,"Central locking: Keyless,Airconditioning: Automatic,Leather upholstery,Airbag,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Fog lights,Isofix-ready,Keyless start,Heated windshield,LED-headlights,Parking camera: Simple camera,Tire-pressure monitoring system,Lane departure warning system,Emergency brake assist",68890.0,,7000.0,,5.0,,0.0,,,,,,
41,13739021,Car,BMW,i4 M50,,Other,Metallic,Four wheel,Tow bar,69900.0,,14800.0,,4.0,400.0,0.0,,,,,,
42,13739211,Car,Mercedes-Benz,EQS,,Black,Nonmetallic,Rear wheel,"Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Sun hatch: With panorama,Cruise control: Traditional,Electric seats: With memory,Parking sensors,Satellite navigator,Multiactive Steering Wheel,Air suspension,Smartphone integration",99800.0,,9000.0,5.0,5.0,,108.0,,250000.0,755.0,CCS,200.0,200.0
